part_number,depth,height,length,weight
B192-157,3.94,61.73,66.46,89
B192-158,3.94,61.73,82.95,106
B537-58,4,57,79.63,77
B553-131,20,39.13,74,304
B553-150,11.5,91,11.5,192.9
B553-151,11.5,91,11.5,182.54
B553-157,3.75,78,69.13,101.85
B553-158,4.13,78,85,119.05
B553-162,99.5,4.13,84.5,57.76
B553-172,5.5,45,71,102.96
B553-193,19.75,33.5,35.75,145
B553-194,87.75,17.31,79.5,53.57
B553-195,85.75,17,75,52.03
B553-196,83.81,17.38,62.75,46.52
B553-197,83.88,17.31,79.5,44.53
B553-199,81.88,17.75,79.25,55.12
B553-254,8.25,30,70.38,77
B553-256,8.25,30,86.75,80
B553-36,4.5,51.88,49.25,80.03
B553-46,19,54.25,44.75,219
B553-73,76.75,14.13,79.94,39.69
B553-74,11.25,36.13,68.88,67.25
B553-75,72.75,14,64.38,35.28
B553-76,11,36.63,85.25,85.98
B553-77,13,65,67.25,94.82
B553-78,13,65,83,108.05
B553-79,72.88,14.13,79.94,39.69
B603-74,77.13,11.63,68.63,78
B603-74S,89.75,68.5,69,76
B603-76,77.25,11.75,84.75,78
B603-76S,89.75,68.5,85.5,93
B603-77,8.75,68,68.75,72
B603-78,8.88,68.13,85,75
B603-94,81,11.5,85,90
B603-95,80.75,14.63,69,62.7
B603-96,76.75,14.63,69,55
B642-36,2.13,35.63,44,38
B642-54,3.38,26.13,64.88,41
B642-56,3.38,26.13,80.88,47
B642-57,3,62,64.88,60
B642-58,3,62,80.88,75
B642-94,86,16.5,79.13,48.5
B642-97,82,16.5,79.13,41.89
B672-36,2,30.81,41.13,29.7
B672-56,3.75,26,83.63,46.2
B672-58,7,62.25,82.06,90.2
B672-74,3.74,21.75,67.75,79.272
B672-76,3.88,21.75,83.5,90.282
B672-78,6.88,62.75,80.25,81.474
B672-94,85,14.5,79,52.8
B672-96,81.13,15,63,38.5
B672-97,81.13,14.63,79,42.9
B672-98,81,19,63.13,85.878
B672-99,81,19.13,79.25,94.686
B697-31,18,39.88,65.63,222
B697-36,1.75,36.5,42.25,35
B697-39,18.25,41,45,132
B697-46,18,58.06,39.75,212
B697-54,5.88,30.38,65.25,79
B697-56,5.75,30.25,83.75,95
B697-57,4.56,60.13,67.81,94
B697-58,4.5,60.25,83.63,114
B697-74,26.63,21.75,65.38,80
B697-76,26.63,21.88,81,94
B697-77,12.13,57,64.75,75
B697-78,11,57,80.5,85
B697-92,18.25,29.88,28.75,71
B697-94,85,15.13,78.75,42
B697-95,82.5,19.25,79,98
B697-96,81,15,63,34
B697-97,81,14.63,78.88,36
B697-98,78.5,19.25,63.25,71
B697-99,78.5,19,79,77
B712-36,3.63,35.63,45.63,41
B730-76,1.75,18,80.5,21
B741-36,2.88,39.5,45.75,47
B741-50,22.13,11.5,53.63,71
B741-57,3.5,64,65.38,101
B741-58,3.5,64.13,80.75,121
B741-96S,79.5,19,65.13,82
B745-31,18.5,40,62,143
B745-36,1,33.75,45,32
B745-46,18.13,56,42,138
B745-54,83,16,64.5,59
B745-56,83,15.88,80.25,92
B745-57,3.88,56,65.5,52
B745-58,3.75,56,81.5,65
B745-91,18,27.75,26,77
B745-94,87,15.88,80.25,96.85
B748-150,3.5,3.5,88,68
B748-172,3.5,88,81.13,145
B748-51,3.5,55.13,3.5,54
B748-60,23.5,11,54.38,60
B748-62,3.5,88,3.5,62.7
B748-72,2,35,74.38,85
B748-94S,85,18.88,80.75,99.3
B748-97S,81,18.88,80.75,72
B749-31,19,36,72,164
B749-36,1.38,39,46,41
B749-46,19,56.63,44,159
B749-54,4.5,26.5,65.75,37
B749-56,4.5,26.25,81.5,38
B749-58,4.5,64.13,81.75,58
B749-94,86.75,15.63,81.25,51.55
B749-96,82.75,15.63,64.75,41
B749-97,82.75,15.63,81.25,44
B755-36,1.5,40,43.88,42
B755-56,3.25,28.25,83.5,58
B760-31,17.5,41.5,63.38,156
B760-36,1.38,34.75,40,33
B760-54,89.38,16,79,161
B760-56,89.38,16,95,171
B760-57,2.25,54,79,87
B760-58,2.25,54,95,98
B760-94,93.25,16,95,167
B765-58,3.38,68,83,88
B765-94,84.88,16.13,78.88,87.5
B765-97,80.88,16.13,78.88,87
B766-194,86.5,16.25,80.75,40
B766-196,82.75,16,65.75,35
B766-197,82.5,16.25,80.75,35
B766-74,4,27,66.75,24
B766-76,4,27.75,82.5,25
B766-77,4,62.38,68.75,39
B766-78,4.25,61.75,84.75,43
B798-36,1.13,30,44,33
B798-82,103.5,66.63,82.5,168
B798-94,5.5,9.5,91.5,43.65
B804-50,23.25,10.63,54,66
B804-58,7.75,55.75,81,74
B804-94S,83.88,16.25,80.13,97.75
B814-183,77.13,15.5,40.38,51
B814-186,77.13,15.5,55.38,69
B814-26,1.38,36.75,32.75,25
B814-45,17.13,46.63,34,103
B814-52S,21.5,17,43.13,27
B814-53,3.63,54,43,30
B814-84S,21.5,17,58,39
B814-87,3.63,54,58.13,36
B816-31,18,43.75,62,138
B816-36,1.63,33.13,40,32
B816-46,19.88,55.5,42.13,112
B816-48,20,57.13,44.63,133
B816-50S,4.38,64,4.38,63
B816-51S,4.38,64,4.38,64
B816-71,2.13,42,55.5,68
B816-72,2,41.88,74.25,76
B816-91,17.88,27.75,28,40
B816-95,85,18.88,79,89.4
B816-98,81,19,62.88,74
B816-99,81,18.88,79,84
B872-31,18.13,36,62,225
B872-36,1.5,37.38,37.38,44
B872-46,18.18,56,35.88,203
B872-54,82,11.5,64.25,97
B872-56,82,11.5,80,114
B872-57,2,48,64.25,43
B872-58,2,48,80.25,52
B872-94,84.88,11.38,80,112
D199-01,22.75,38.25,19,17.5
D199-15,42,30.63,42,45
D712-25,86.13,29.88,42,139
D734-13,54.13,36.25,54.13,220
D748-01,22.75,38,19,17
D748-45,92,30.13,32.13,163
D748-60,18,37.13,56.13,143
D749-01,23.5,38,19.5,18
D749-35,90,30,41,131
D749-60,18,33,54.25,132
D756-25T,86,3.13,42,99
D766-01,28.5,38,20,29
D766-02,28.5,38,20,29
D814-124,23.25,43.75,20.13,18
D814-13,54,36.38,54,83
M100-52,19,2,5.75,7
M30801,75,16,39,8
M30801P,75,16,39,2
M30802,75,16,54,8
M30802P,75,16,54,2
M30803,80,16,60,12
M30803P,80,16,60,2
M30804,80,16,76,14
M30804P,80,16,76,2
M30805,84,16,72,12
M30805P,84,16,72,2
M30806,80,16,39,9
M30806P,80,16,39,2
M30901,75,16,39,8
M30901P,75,16,39,2
M30902,75,16,54,12
M30902P,75,16,54,2
M30903,80,16,60,12
M30903P,80,16,60,2
M30904,80,16,76,12
M30904P,80,16,76,3
M30905,84,16,72,16
M30905P,84,16,72,3
M30906,80,16,39,8
M30906P,80,16,39,2
M31001,75,16,39,11
M31001P,75,16,39,2
M31002,75,16,54,14
M31002P,75,16,54,2
M31003,80,16,60,16
M31003P,80,16,60,3
M31004,80,16,76,20
M31004P,80,16,76,4
M31005,84,16,72,20
M31005P,84,16,72,4
M31006,80,16,39,11
M31006P,80,16,39,2
M51631,79.5,14,60,79
M51641,79.5,14,76,100.1
M52110,28,12,20,22.8
M52111,20,6,28,13.6
M52112,26,8,20,24
M52113,17,5,28,21
M52114,17,6,28,21
M52611,74,11,37,49
M52621,74,11,52,65
M52631,79,11,59,79
M52641,79,11,75,98
M52651,83,11,71,99
M52671,79,11,37,55
M61111,74,13.5,37,61.08
M61121,74,13.5,52,80.83
M61131,79,13.5,59,94.57
M61141,79,13.5,75,116.91
M61211,74,14,37,60.31
M61221,74,14,52,80.61
M61231,79,14,59,93.99
M61241,79,14,75,117.15
M62831,79,12,59,108.047
M62841,79,12,75,135.407
M62851,83,12,71,137.347
M62931,79,14,59,120.68
M62941,79,14,75,148.48
M62951,83,14,71,152.757
M69511,74.41,8,37.99,37.35
M69521,74.41,8,53.15,45
M69531,79.53,8,59.84,62.03
M69541,79.53,8,75.98,77.22
M69611,74.41,10,37.99,43
M69621,74.41,10,53.15,57
M69631,79.53,10,59.84,68
M69641,79.53,10,75.98,85
M69651,83.46,10,72.05,86
M69711,74.41,12,37.99,46
M69721,74.41,12,53.15,62
M69731,79.53,12,59.84,76
M69741,79.53,12,75.98,94
M69751,83.46,12,72.05,95
M71671,79,12,37,39.5
M71831,79,13,59,65
M71851,83,13,71,81.9
M74X12,74,9,37.5,35
M74X22,74,9,52.5,40
M74X32,79,9,59.5,45
M74X42,79,9,37.5,36
M75X12,74,5,37.5,30
M75X22,74,5,52.5,35
M75X32,79,5,59.5,40
M75X42,79,5,37.5,31
M78X12,74,5,38,29
M78X22,53,5,74,39
M78X32,79,5,60.58,43
M78X42,78.88,5.13,75.5,49
M78X72,78.5,5,38,29
M78X92,71.5,5,82.75,53
M82410,20,6,28,17
M82410P,20,6,28,1.7
M82411,20,6,28,8
M82411P,20,6,28,2
M82412P,18.5,6,26.5,2.4
M82413P,18,6,24,2.4
M82510,17.75,6.5,28,34
M82510P,17.75,6.5,28,3.4
M87411,74,10,37,48.81
M87421,74,10,52,62.37
M87431,79,10,59,72.53
M87441,79,10,75,88.26
M87451,83,10,71,85.15
