product_id,product_sku,competitor_name,competitor_url,competitor_sku,competitor_price
"231","msj000","Amazon","www.amazon.com/caff","caff456","100000"
"233","msj002","Amazon","www.amazon.com/show","show456","100000"
"233","msj002","Amazon","","",""
"234","msj003","Amazon","","",""
"235","msj004","Amazon","","",""
"236","msj005","Amazon","","",""
"237","msj006","Amazon","","",""
"238","msj007","Amazon","","",""
"239","msj008","Amazon","","",""
"240","msj009","Amazon","","",""
"241","msj010","Amazon","","",""
"242","msj011","Amazon","","",""
"243","msj012","Amazon","","",""
"244","msj013","Amazon","","",""
"245","msj014","Amazon","","",""
"246","msj015","Amazon","","",""
"247","msj016","Amazon","","",""
"248","msj017","Amazon","","",""
"249","mtk000","Amazon","","",""
"250","mtk001","Amazon","","",""
"251","mtk002","Amazon","","",""
"252","mtk003","Amazon","","",""
"253","mtk004","Amazon","","",""
"254","mtk005","Amazon","","",""
"255","mtk006","Amazon","","",""
"256","mtk007","Amazon","","",""
"257","mtk008","Amazon","","",""
"258","mtk009","Amazon","","",""
"259","mtk010","Amazon","","",""
"260","mtk011","Amazon","","",""
"261","mtk012","Amazon","","",""
"262","mtk013","Amazon","","",""
"263","mtk014","Amazon","","",""
"267","mpd003","Amazon","","",""
"268","mpd004","Amazon","","",""
"269","mpd005","Amazon","","",""
"270","mpd006","Amazon","","",""
"271","mpd007","Amazon","","",""
"272","mpd008","Amazon","","",""
"273","mpd009","Amazon","","",""
"274","mpd010","Amazon","","",""
"275","mpd011","Amazon","","",""
"276","mpd012","Amazon","","",""
"277","mpd013","Amazon","","",""
"278","mpd014","Amazon","","",""
"279","mpd015","Amazon","","",""
"280","mpd016","Amazon","","",""
"281","mpd017","Amazon","","",""
"282","wbk000","Amazon","","",""
"283","wbk001","Amazon","","",""
"284","wbk002L","Amazon","","",""
"285","wbk003","Amazon","","",""
"286","wbk004","Amazon","","",""
"287","wbk005","Amazon","","",""
"288","wbk006","Amazon","","",""
"289","wbk007","Amazon","","",""
"290","wbk008","Amazon","","",""
"291","wbk009","Amazon","","",""
"292","wbk010","Amazon","","",""
"293","wbk011","Amazon","","",""
"294","wbk012","Amazon","","",""
"295","wbk013","Amazon","","",""
"296","wbk014","Amazon","","",""
"297","wsd000","Amazon","","",""
"298","wsd001","Amazon","","",""
"299","wsd002","Amazon","","",""
"300","wsd003","Amazon","","",""
"301","wsd004","Amazon","","",""
"302","wsd005","Amazon","","",""
"303","wsd006","Amazon","","",""
"304","wsd007","Amazon","","",""
"305","wsd008","Amazon","","",""
"306","wsd009","Amazon","","",""
"307","wsd010","Amazon","","",""
"308","wsd011","Amazon","","",""
"309","wsd012","Amazon","","",""
"310","wsd013","Amazon","","",""
"311","wsd014","Amazon","","",""
"312","wsd015","Amazon","","",""
"313","wsd016","Amazon","","",""
"314","wsd017","Amazon","","",""
"325","wpd010","Amazon","","",""
"326","wpd011","Amazon","","",""
"327","wpd012","Amazon","","",""
"328","wpd013","Amazon","","",""
"329","wpd014","Amazon","","",""
"337","ace000","Amazon","","",""
"338","ace001","Amazon","","",""
"339","ace002","Amazon","","",""
"340","aws000","Amazon","","",""
"341","aws001","Amazon","","",""
"342","aws002","Amazon","","",""
"343","aws003","Amazon","","",""
"344","aws004","Amazon","","",""
"345","aws005","Amazon","","",""
"346","aws006","Amazon","","",""
"347","aws007","Amazon","","",""
"348","aws008","Amazon","","",""
"349","aws009","Amazon","","",""
"350","aws010","Amazon","","",""
"351","aws011","Amazon","","",""
"352","aws012","Amazon","","",""
"353","aws013","Amazon","","",""
"354","aws014","Amazon","","",""
"355","ams000","Amazon","","",""
"356","ams001","Amazon","","",""
"357","ams002","Amazon","","",""
"358","ams003","Amazon","","",""
"359","ams004","Amazon","","",""
"360","ams005","Amazon","","",""
"361","ams006","Amazon","","",""
"362","ams007","Amazon","","",""
"363","ams008","Amazon","","",""
"364","ams009","Amazon","","",""
"365","ams010","Amazon","","",""
"366","ams011","Amazon","","",""
"367","ams012","Amazon","","",""
"368","ams013","Amazon","","",""
"369","ams014","Amazon","","",""
"370","abl000","Amazon","","",""
"371","abl001","Amazon","","",""
"372","abl002","Amazon","","",""
"373","abl003","Amazon","","",""
"374","abl004","Amazon","","",""
"375","abl005","Amazon","","",""
"376","abl006","Amazon","","",""
"377","abl007","Amazon","","",""
"378","hdb000","Amazon","","",""
"379","hdb001","Amazon","","",""
"380","hdb002","Amazon","","",""
"381","hdb005","Amazon","","",""
"382","hdb006","Amazon","","",""
"383","hdb007","Amazon","","",""
"384","hdb008","Amazon","","",""
"385","hdb009","Amazon","","",""
"386","hdd000","Amazon","","",""
"387","hdd001","Amazon","","",""
"388","hdd002","Amazon","","",""
"389","hdd004","Amazon","","",""
"390","hdd005","Amazon","","",""
"391","hdd006","Amazon","","",""
"392","hde001","Amazon","","",""
"393","hde003","Amazon","","",""
"394","hde004","Amazon","","",""
"395","hde005","Amazon","","",""
"396","hde006","Amazon","","",""
"397","hde010","Amazon","","",""
"398","hde011","Amazon","","",""
"399","hde012","Amazon","","",""
"400","hde013","Amazon","","",""
"402","msj000c","Amazon","","",""
"403","msj003c","Amazon","","",""
"404","msj006c","Amazon","","",""
"405","msj009c","Amazon","","",""
"406","msj012c","Amazon","","",""
"407","msj015c","Amazon","","",""
"408","mtk000c","Amazon","","",""
"409","mtk002c","Amazon","","",""
"410","mtk004c","Amazon","","",""
"411","mtk006c","Amazon","","",""
"412","mtk009c","Amazon","","",""
"413","mtk012c","Amazon","","",""
"414","mpd003c","Amazon","","",""
"415","mpd006c","Amazon","","",""
"416","mpd012c","Amazon","","",""
"417","wbk000c","Amazon","","",""
"418","wbk003c","Amazon","","",""
"419","wbk006c","Amazon","","",""
"420","wbk009c","Amazon","","",""
"421","wbk012c","Amazon","","",""
"422","wsd000c","Amazon","","",""
"423","wsd005c","Amazon","","",""
"424","wsd008c","Amazon","","",""
"425","wsd013c","Amazon","","",""
"426","wpd000c","Amazon","","",""
"427","wpd005c","Amazon","","",""
"428","wpd010c","Amazon","","",""
"430","aws000c","Amazon","","",""
"431","aws005c","Amazon","","",""
"432","aws010c","Amazon","","",""
"433","ams000c","Amazon","","",""
"434","ams005c","Amazon","","",""
"435","ams010c","Amazon","","",""
"436","abl006c","Amazon","","",""
"437","hdd001c","Amazon","","",""
"439","abl008","Amazon","","",""
"440","hdd003","Amazon","","",""
"441","hde007","Amazon","","",""
"442","hde008","Amazon","","",""
"445","hde009","Amazon","","",""
"446","hde014","Amazon","","",""
"447","hdb010","Amazon","","",""
"448","hbm000","Amazon","","",""
"450","hbm003 ","Amazon","","",""
"456","mpd000c","Amazon","","",""
"457","mpd000","Amazon","","",""
"458","mpd001","Amazon","","",""
"459","mpd002","Amazon","","",""
"475","mpd00336","Amazon","","",""
"476","mpd00338","Amazon","","",""
"477","mpd00331","Amazon","","",""
"478","mpd00328","Amazon","","",""
"479","mpd00028","Amazon","","",""
"480","mpd00031","Amazon","","",""
"481","mpd00036","Amazon","","",""
"482","mpd00038","Amazon","","",""
"483","mtk004xs","Amazon","","",""
"484","mtk004m","Amazon","","",""
"485","mtk002s","Amazon","","",""
"486","mtk002xs","Amazon","","",""
"487","mtk002xl","Amazon","","",""
"488","mtk004xl","Amazon","","",""
"489","mtk000l","Amazon","","",""
"490","mtk000xl","Amazon","","",""
"491","mtk000xs","Amazon","","",""
"492","mtk006xs","Amazon","","",""
"493","mtk006xl","Amazon","","",""
"494","mtk009xs","Amazon","","",""
"495","mtk009xl","Amazon","","",""
"496","mtk012xs","Amazon","","",""
"497","mtk012xl","Amazon","","",""
"498","msj000xs","Amazon","","",""
"499","msj000xl","Amazon","","",""
"500","msj003xs","Amazon","","",""
"501","msj003xl","Amazon","","",""
"502","msj006xl","Amazon","","",""
"503","msj006xs","Amazon","","",""
