product_id,product_sku,competitor_name,competitor_url,competitor_sku
"231","msj000","","",""
"232","msj001","","",""
"233","msj002","","",""
"234","msj003","","",""
"235","msj004","","",""
"236","msj005","","",""
"237","msj006","","",""
"238","msj007","","",""
"239","msj008","","",""
"240","msj009","","",""
"241","msj010","","",""
"242","msj011","","",""
"243","msj012","","",""
"244","msj013","","",""
"245","msj014","","",""
"246","msj015","","",""
"247","msj016","","",""
"248","msj017","","",""
"249","mtk000","","",""
"250","mtk001","","",""
"251","mtk002","","",""
"252","mtk003","","",""
"253","mtk004","","",""
"254","mtk005","","",""
"255","mtk006","","",""
"256","mtk007","","",""
"257","mtk008","","",""
"258","mtk009","","",""
"259","mtk010","","",""
"260","mtk011","","",""
"261","mtk012","","",""
"262","mtk013","","",""
"263","mtk014","","",""
"267","mpd003","","",""
"268","mpd004","","",""
"269","mpd005","","",""
"270","mpd006","","",""
"271","mpd007","","",""
"272","mpd008","","",""
"273","mpd009","","",""
"274","mpd010","","",""
"275","mpd011","","",""
"276","mpd012","","",""
"277","mpd013","","",""
"278","mpd014","","",""
"279","mpd015","","",""
"280","mpd016","","",""
"281","mpd017","","",""
"282","wbk000","","",""
"283","wbk001","","",""
"284","wbk002L","","",""
"285","wbk003","","",""
"286","wbk004","","",""
"287","wbk005","","",""
"288","wbk006","","",""
"289","wbk007","","",""
"290","wbk008","","",""
"291","wbk009","","",""
"292","wbk010","","",""
"293","wbk011","","",""
"294","wbk012","","",""
"295","wbk013","","",""
"296","wbk014","","",""
"297","wsd000","","",""
"298","wsd001","","",""
"299","wsd002","","",""
"300","wsd003","","",""
"301","wsd004","","",""
"302","wsd005","","",""
"303","wsd006","","",""
"304","wsd007","","",""
"305","wsd008","","",""
"306","wsd009","","",""
"307","wsd010","","",""
"308","wsd011","","",""
"309","wsd012","","",""
"310","wsd013","","",""
"311","wsd014","","",""
"312","wsd015","","",""
"313","wsd016","","",""
"314","wsd017","","",""
"325","wpd010","","",""
"326","wpd011","","",""
"327","wpd012","","",""
"328","wpd013","","",""
"329","wpd014","","",""
"337","ace000","","",""
"338","ace001","","",""
"339","ace002","","",""
"340","aws000","","",""
"341","aws001","","",""
"342","aws002","","",""
"343","aws003","","",""
"344","aws004","","",""
"345","aws005","","",""
"346","aws006","","",""
"347","aws007","","",""
"348","aws008","","",""
"349","aws009","","",""
"350","aws010","","",""
"351","aws011","","",""
"352","aws012","","",""
"353","aws013","","",""
"354","aws014","","",""
"355","ams000","","",""
"356","ams001","","",""
"357","ams002","","",""
"358","ams003","","",""
"359","ams004","","",""
"360","ams005","","",""
"361","ams006","","",""
"362","ams007","","",""
"363","ams008","","",""
"364","ams009","","",""
"365","ams010","","",""
"366","ams011","","",""
"367","ams012","","",""
"368","ams013","","",""
"369","ams014","","",""
"370","abl000","","",""
"371","abl001","","",""
"372","abl002","","",""
"373","abl003","","",""
"374","abl004","","",""
"375","abl005","","",""
"376","abl006","","",""
"377","abl007","","",""
"378","hdb000","","",""
"379","hdb001","","",""
"380","hdb002","","",""
"381","hdb005","","",""
"382","hdb006","","",""
"383","hdb007","","",""
"384","hdb008","","",""
"385","hdb009","","",""
"386","hdd000","","",""
"387","hdd001","","",""
"388","hdd002","","",""
"389","hdd004","","",""
"390","hdd005","","",""
"391","hdd006","","",""
"392","hde001","","",""
"393","hde003","","",""
"394","hde004","","",""
"395","hde005","","",""
"396","hde006","","",""
"397","hde010","","",""
"398","hde011","","",""
"399","hde012","","",""
"400","hde013","","",""
"402","msj000c","","",""
"403","msj003c","","",""
"404","msj006c","","",""
"405","msj009c","","",""
"406","msj012c","","",""
"407","msj015c","","",""
"408","mtk000c","","",""
"409","mtk002c","","",""
"410","mtk004c","","",""
"411","mtk006c","","",""
"412","mtk009c","","",""
"413","mtk012c","","",""
"414","mpd003c","","",""
"415","mpd006c","","",""
"416","mpd012c","","",""
"417","wbk000c","","",""
"418","wbk003c","","",""
"419","wbk006c","","",""
"420","wbk009c","","",""
"421","wbk012c","","",""
"422","wsd000c","","",""
"423","wsd005c","","",""
"424","wsd008c","","",""
"425","wsd013c","","",""
"426","wpd000c","","",""
"427","wpd005c","","",""
"428","wpd010c","","",""
"430","aws000c","","",""
"431","aws005c","","",""
"432","aws010c","","",""
"433","ams000c","","",""
"434","ams005c","","",""
"435","ams010c","","",""
"436","abl006c","","",""
"437","hdd001c","","",""
"439","abl008","","",""
"440","hdd003","","",""
"441","hde007","","",""
"442","hde008","","",""
"445","hde009","","",""
"446","hde014","","",""
"447","hdb010","","",""
"448","hbm000","","",""
"450","hbm003 ","","",""
"456","mpd000c","","",""
"457","mpd000","","",""
"458","mpd001","","",""
"459","mpd002","","",""
"475","mpd00336","","",""
"476","mpd00338","","",""
"477","mpd00331","","",""
"478","mpd00328","","",""
"479","mpd00028","","",""
"480","mpd00031","","",""
"481","mpd00036","","",""
"482","mpd00038","","",""
"483","mtk004xs","","",""
"484","mtk004m","","",""
"485","mtk002s","","",""
"486","mtk002xs","","",""
"487","mtk002xl","","",""
"488","mtk004xl","","",""
"489","mtk000l","","",""
"490","mtk000xl","","",""
"491","mtk000xs","","",""
"492","mtk006xs","","",""
"493","mtk006xl","","",""
"494","mtk009xs","","",""
"495","mtk009xl","","",""
"496","mtk012xs","","",""
"497","mtk012xl","","",""
"498","msj000xs","","",""
"499","msj000xl","","",""
"500","msj003xs","","",""
"501","msj003xl","","",""
"502","msj006xl","","",""
"503","msj006xs","","",""
"504","msj009xs","","",""
"505","msj009xl","","",""
"506","msj012xs","","",""
"507","msj012xl","","",""
"508","msj015xs","","",""
"509","msj015xl","","",""
"510","wbk000xs","","",""
"511","wbk000xl","","",""
"512","wbk003xs","","",""
"513","wbk003xl","","",""
"514","wbk006xs","","",""
"515","wbk006xl","","",""
"516","wbk009xs","","",""
"517","wbk009xl","","",""
"518","wbk012xs","","",""
"519","wbk012xl","","",""
"520","wpd00526","","",""
"521","wpd00527","","",""
"522","wpd00528","","",""
"523","wpd00529","","",""
"524","wpd00530","","",""
"525","wpd00531","","",""
"526","wpd00532","","",""
"527","wpd00026","","",""
"528","wpd00027","","",""
"529","wpd00028","","",""
"530","wpd00029","","",""
"531","wpd00030","","",""
"532","wpd00031","","",""
"533","wpd00032","","",""
"534","wpd01010","","",""
"535","wpd0108","","",""
"536","wpd0106","","",""
"537","wpd0104","","",""
"538","wpd01012","","",""
"539","wsd005xs","","",""
"540","wsd005xl","","",""
"541","abl009","","",""
"542","vip000","","",""
"546","acj001c","","",""
"547","acj00118","","",""
"548","acj00124","","",""
"549","acj0006s","","",""
"551","acj003","","",""
"552","acj004","","",""
"553","acj000","","",""
"554","acj005","","",""
"555","acj007","","",""
"557","hbm001","","",""
"558","hbm005","","",""
"559","hbm006","","",""
"560","hbm007","","",""
"561","hbm008","","",""
"563","hbm010","","",""
"564","mem000","","",""
"566","Pmo000xs","","",""
"567","Pmo000s","","",""
"568","Pmo000m","","",""
"569","Pmo000l","","",""
"570","Pmo000xl","","",""
"571","Pmo001xs","","",""
"572","Pmo001s","","",""
"573","Pmo001m","","",""
"574","Pmo001l","","",""
"575","Pmo001xl","","",""
"576","Pmo002xs","","",""
"577","Pmo002s","","",""
"578","Pmo002m","","",""
"579","Pmo002l","","",""
"580","Pmo002xl","","",""
"581","Pmp00028","","",""
"582","Pmp00030","","",""
"583","Pmp00031","","",""
"584","Pmp00032","","",""
"585","Pmp00034","","",""
"586","Pmp00036","","",""
"587","Pmp00038","","",""
"588","Pmp00128","","",""
"589","Pmp00130","","",""
"590","Pmp00131","","",""
"591","Pmp00132","","",""
"592","Pmp00134","","",""
